description,category
college fee,Education
kfc,Food
pharmacy,Healthcare
medicine,Healthcare
prime video,Entertainment
prime video,Entertainment
college fee,Education
spotify,Entertainment
protein powder,Health & Fitness
nykaa,Shopping
chai point,Food
hospital,Healthcare
books,Education
yoga class,Health & Fitness
books,Education
auto fare,Transport
frozen food,Groceries
Gym Membership,Health & Fitness
croma,Shopping
croma,Shopping
ajio,Shopping
shuttle service,Transport
nykaa,Shopping
bookmyshow,Entertainment
netflix,Entertainment
security fee,Other
cinema snacks,Entertainment
library fee,Education
vegetable market,Groceries
hospital,Healthcare
dmart,Groceries
other expense,Other
parking fee,Transport
Gym Membership,Health & Fitness
frozen food,Groceries
taxi,Transport
flipkart,Shopping
DTH recharge,Utilities
gas bill,Utilities
recharge,Utilities
health check plan,Health & Fitness
restaurant,Food
ayurvedic store,Healthcare
clinic,Healthcare
frozen food,Groceries
cycling membership,Health & Fitness
security fee,Other
Grocery Shopping,Groceries
dental care,Healthcare
Grocery Shopping,Groceries
college fee,Education
exam registration,Education
pizza,Food
hotstar,Entertainment
blood test,Healthcare
firstcry,Shopping
restaurant,Food
westside,Shopping
snacks,Food
water bill,Utilities
chai point,Food
ayurvedic store,Healthcare
decathlon,Shopping
unknown charge,Other
train,Transport
westside,Shopping
shuttle service,Transport
decathlon,Shopping
decathlon,Shopping
blood test,Healthcare
parking fee,Transport
spotify,Entertainment
youtube premium,Entertainment
snapdeal,Shopping
kirana shop,Groceries
milk and bread,Groceries
eye checkup,Healthcare
Grocery Shopping,Groceries
local taxi,Transport
security fee,Other
DTH recharge,Utilities
movie,Entertainment
pathology test,Healthcare
other expense,Other
udemy,Education
college fee,Education
decathlon,Shopping
netflix,Entertainment
edx course,Education
breakfast,Food
zara,Shopping
taxi,Transport
netflix,Entertainment
kirana shop,Groceries
bigbasket,Groceries
edx course,Education
croma,Shopping
kfc,Food
other expense,Other
coursera,Education
coursera,Education
hospital,Healthcare
kfc,Food
dental care,Healthcare
sweet shop,Food
postpaid bill,Utilities
health check plan,Health & Fitness
uber,Transport
protein powder,Health & Fitness
eye checkup,Healthcare
wifi,Utilities
flipkart,Shopping
cinema snacks,Entertainment
snacks,Food
pharmacy,Healthcare
shuttle service,Transport
security fee,Other
croma,Shopping
vegetable market,Groceries
Gym Membership,Health & Fitness
lifestyle,Shopping
clinic,Healthcare
bookmyshow,Entertainment
pantaloons,Shopping
coursera,Education
unknown charge,Other
bookmyshow,Entertainment
broadband bill,Utilities
juice bar,Food
cab fare,Transport
bike ride,Transport
taxi,Transport
security fee,Other
pizza,Food
clinic,Healthcare
local taxi,Transport
uber,Transport
medicine,Healthcare
cab fare,Transport
postpaid bill,Utilities
ajio,Shopping
domino,Food
lifestyle,Shopping
tuition,Education
ajio,Shopping
lunch,Food
running shoes,Health & Fitness
local taxi,Transport
wifi,Utilities
spotify,Entertainment
eye checkup,Healthcare
internet,Utilities
unknown charge,Other
auto fare,Transport
vegetable market,Groceries
pizza,Food
miscellaneous,Other
broadband bill,Utilities
music concert,Entertainment
hotstar,Entertainment
postpaid bill,Utilities
college fee,Education
gas bill,Utilities
auto fare,Transport
locker fee,Other
dental care,Healthcare
bigbasket,Groceries
career counseling,Education
music concert,Entertainment
broadband bill,Utilities
local taxi,Transport
vegetable market,Groceries
water bill,Utilities
books,Education
bookmyshow,Entertainment
firstcry,Shopping
local taxi,Transport
movie,Entertainment
uber,Transport
water bill,Utilities
nature’s basket,Groceries
myntra,Shopping
other expense,Other
protein powder,Health & Fitness
juice bar,Food
cycling membership,Health & Fitness
myntra,Shopping
vegetable market,Groceries
flipkart,Shopping
blood test,Healthcare
bookmyshow,Entertainment
other expense,Other
udemy,Education
snapdeal,Shopping
water bill,Utilities
ayurvedic store,Healthcare
bigbasket,Groceries
recharge,Utilities
bookmyshow,Entertainment
protein powder,Health & Fitness
ola,Transport
books,Education
movie,Entertainment
DTH recharge,Utilities
coursera,Education
bike ride,Transport
ayurvedic store,Healthcare
movie,Entertainment
random,Other
croma,Shopping
books,Education
game,Entertainment
ola,Transport
garbage fee,Utilities
music concert,Entertainment
domino,Food
restaurant,Food
atm withdrawal,Other
vegetable market,Groceries
frozen food,Groceries
bike ride,Transport
pizza,Food
protein powder,Health & Fitness
wifi,Utilities
career counseling,Education
health check plan,Health & Fitness
firstcry,Shopping
tuition,Education
unknown charge,Other
ajio,Shopping
prime video,Entertainment
bike ride,Transport
prime video,Entertainment
exam registration,Education
clinic,Healthcare
career counseling,Education
pantaloons,Shopping
atm withdrawal,Other
game,Entertainment
amazon,Shopping
flipkart,Shopping
exam registration,Education
flipkart,Shopping
shuttle service,Transport
restaurant,Food
eye checkup,Healthcare
frozen food,Groceries
prime video,Entertainment
protein powder,Health & Fitness
internet,Utilities
pizza,Food
movie,Entertainment
clinic,Healthcare
domino,Food
shuttle service,Transport
burger,Food
pathology test,Healthcare
swimming class,Health & Fitness
lunch,Food
nykaa,Shopping
snapdeal,Shopping
nykaa,Shopping
shuttle service,Transport
spotify,Entertainment
taxi,Transport
cab fare,Transport
udemy,Education
ajio,Shopping
lifestyle,Shopping
dmart,Groceries
big bazaar,Shopping
cab fare,Transport
movie,Entertainment
pharmacy,Healthcare
eye checkup,Healthcare
bigbasket,Groceries
big bazaar,Shopping
postpaid bill,Utilities
edx course,Education
decathlon,Shopping
breakfast,Food
edx course,Education
ayurvedic store,Healthcare
firstcry,Shopping
exam registration,Education
domino,Food
miscellaneous,Other
pathology test,Healthcare
blood test,Healthcare
ajio,Shopping
snapdeal,Shopping
juice bar,Food
milk and bread,Groceries
pathology test,Healthcare
sweet shop,Food
blood test,Healthcare
milk and bread,Groceries
hotstar,Entertainment
burger,Food
amazon,Shopping
vegetable market,Groceries
locker fee,Other
medicine,Healthcare
career counseling,Education
youtube premium,Entertainment
security fee,Other
broadband bill,Utilities
tuition,Education
myntra,Shopping
postpaid bill,Utilities
clinic,Healthcare
zara,Shopping
electricity bill,Utilities
movie,Entertainment
parking fee,Transport
zara,Shopping
broadband bill,Utilities
cycling membership,Health & Fitness
milk and bread,Groceries
ayurvedic store,Healthcare
bus,Transport
pizza,Food
westside,Shopping
myntra,Shopping
decathlon,Shopping
uber,Transport
hotstar,Entertainment
dental care,Healthcare
random,Other
snapdeal,Shopping
hospital,Healthcare
pizza,Food
juice bar,Food
taxi,Transport
garbage fee,Utilities
yoga class,Health & Fitness
pathology test,Healthcare
amazon,Shopping
music concert,Entertainment
spotify,Entertainment
coursera,Education
exam registration,Education
cab fare,Transport
yoga class,Health & Fitness
doctor,Healthcare
career counseling,Education
bookmyshow,Entertainment
nature’s basket,Groceries
coffee,Food
online course,Education
miscellaneous,Other
recharge,Utilities
concert,Entertainment
coursera,Education
college fee,Education
game,Entertainment
bookmyshow,Entertainment
nature’s basket,Groceries
spotify,Entertainment
atm withdrawal,Other
protein powder,Health & Fitness
snacks,Food
tuition,Education
running shoes,Health & Fitness
college fee,Education
pizza,Food
bookmyshow,Entertainment
bookmyshow,Entertainment
library fee,Education
dental care,Healthcare
online course,Education
spotify,Entertainment
hotstar,Entertainment
breakfast,Food
eye checkup,Healthcare
wifi,Utilities
pathology test,Healthcare
ayurvedic store,Healthcare
metro,Transport
netflix,Entertainment
DTH recharge,Utilities
DTH recharge,Utilities
bigbasket,Groceries
game,Entertainment
myntra,Shopping
edx course,Education
