description,category
clinic,Healthcare
zara,Shopping
doctor,Healthcare
bus,Transport
spotify,Entertainment
medicine,Healthcare
gas bill,Utilities
miscellaneous,Other
jeans,Shopping
game,Entertainment
clothes,Shopping
other expense,Other
donation,Other
electricity bill,Utilities
random,Other
donation,Other
college fee,Education
checkup,Healthcare
myntra,Shopping
restaurant,Food
coffee,Food
metro,Transport
domino,Food
internet,Utilities
miscellaneous,Other
other expense,Other
checkup,Healthcare
miscellaneous,Other
books,Education
coursera,Education
wifi,Utilities
pharmacy,Healthcare
shopping,Shopping
water bill,Utilities
domino,Food
gift,Other
electricity bill,Utilities
coursera,Education
miscellaneous,Other
myntra,Shopping
hotstar,Entertainment
shoes,Shopping
online course,Education
random,Other
wifi,Utilities
cab fare,Transport
taxi,Transport
medicine,Healthcare
shirt,Shopping
uber,Transport
other expense,Other
coffee,Food
game,Entertainment
concert,Entertainment
other expense,Other
cab fare,Transport
hospital,Healthcare
burger,Food
game,Entertainment
recharge,Utilities
clothes,Shopping
internet,Utilities
other expense,Other
random,Other
uber,Transport
coffee,Food
game,Entertainment
domino,Food
hotstar,Entertainment
spotify,Entertainment
clinic,Healthcare
hospital,Healthcare
internet,Utilities
donation,Other
random,Other
shopping,Shopping
coursera,Education
coursera,Education
jeans,Shopping
train,Transport
train,Transport
clinic,Healthcare
train,Transport
pharmacy,Healthcare
ola,Transport
bus,Transport
shirt,Shopping
medicine,Healthcare
online course,Education
domino,Food
wifi,Utilities
clothes,Shopping
college fee,Education
clothes,Shopping
domino,Food
coursera,Education
movie,Entertainment
college fee,Education
coffee,Food
train,Transport
doctor,Healthcare
miscellaneous,Other
ola,Transport
udemy,Education
zara,Shopping
electricity bill,Utilities
books,Education
college fee,Education
cab fare,Transport
internet,Utilities
recharge,Utilities
domino,Food
online course,Education
other expense,Other
burger,Food
gift,Other
coursera,Education
recharge,Utilities
college fee,Education
cab fare,Transport
coursera,Education
train,Transport
wifi,Utilities
game,Entertainment
uber,Transport
zara,Shopping
pharmacy,Healthcare
miscellaneous,Other
coffee,Food
other expense,Other
bus,Transport
gift,Other
coursera,Education
jeans,Shopping
myntra,Shopping
movie,Entertainment
coffee,Food
recharge,Utilities
train,Transport
college fee,Education
game,Entertainment
checkup,Healthcare
random,Other
game,Entertainment
jeans,Shopping
electricity bill,Utilities
zara,Shopping
shirt,Shopping
zara,Shopping
myntra,Shopping
hospital,Healthcare
checkup,Healthcare
cab fare,Transport
concert,Entertainment
restaurant,Food
uber,Transport
random,Other
pizza,Food
jeans,Shopping
wifi,Utilities
gas bill,Utilities
tuition,Education
spotify,Entertainment
doctor,Healthcare
coursera,Education
bus,Transport
random,Other
internet,Utilities
pharmacy,Healthcare
electricity bill,Utilities
train,Transport
restaurant,Food
recharge,Utilities
doctor,Healthcare
donation,Other
other expense,Other
metro,Transport
books,Education
metro,Transport
other expense,Other
udemy,Education
metro,Transport
concert,Entertainment
shoes,Shopping
pizza,Food
books,Education
restaurant,Food
udemy,Education
coursera,Education
coffee,Food
pizza,Food
recharge,Utilities
random,Other
doctor,Healthcare
random,Other
gift,Other
bus,Transport
medicine,Healthcare
zomato,Food
cab fare,Transport
bus,Transport
other expense,Other
game,Entertainment
domino,Food
netflix,Entertainment
gas bill,Utilities
online course,Education
college fee,Education
donation,Other
myntra,Shopping
random,Other
wifi,Utilities
books,Education
miscellaneous,Other
clinic,Healthcare
cab fare,Transport
coffee,Food
jeans,Shopping
coffee,Food
shopping,Shopping
pharmacy,Healthcare
electricity bill,Utilities
recharge,Utilities
shoes,Shopping
medicine,Healthcare
doctor,Healthcare
internet,Utilities
lunch,Food
water bill,Utilities
movie,Entertainment
burger,Food
cab fare,Transport
uber,Transport
donation,Other
lunch,Food
tuition,Education
restaurant,Food
tuition,Education
pizza,Food
college fee,Education
coursera,Education
concert,Entertainment
netflix,Entertainment
udemy,Education
other expense,Other
domino,Food
bus,Transport
water bill,Utilities
burger,Food
electricity bill,Utilities
game,Entertainment
gift,Other
myntra,Shopping
game,Entertainment
game,Entertainment
metro,Transport
domino,Food
miscellaneous,Other
uber,Transport
college fee,Education
recharge,Utilities
udemy,Education
myntra,Shopping
bus,Transport
pharmacy,Healthcare
bus,Transport
spotify,Entertainment
restaurant,Food
concert,Entertainment
recharge,Utilities
donation,Other
netflix,Entertainment
other expense,Other
bus,Transport
netflix,Entertainment
recharge,Utilities
clothes,Shopping
udemy,Education
coffee,Food
pharmacy,Healthcare
cab fare,Transport
hospital,Healthcare
movie,Entertainment
myntra,Shopping
random,Other
ola,Transport
recharge,Utilities
gift,Other
movie,Entertainment
bus,Transport
restaurant,Food
zomato,Food
ola,Transport
shoes,Shopping
domino,Food
recharge,Utilities
zara,Shopping
uber,Transport
electricity bill,Utilities
shoes,Shopping
concert,Entertainment
medicine,Healthcare
gift,Other
udemy,Education
taxi,Transport
taxi,Transport
doctor,Healthcare
ola,Transport
myntra,Shopping
lunch,Food
random,Other
online course,Education
checkup,Healthcare
random,Other
tuition,Education
zomato,Food
restaurant,Food
gift,Other
gas bill,Utilities
myntra,Shopping
coursera,Education
ola,Transport
netflix,Entertainment
movie,Entertainment
internet,Utilities
coffee,Food
concert,Entertainment
internet,Utilities
gift,Other
doctor,Healthcare
ola,Transport
recharge,Utilities
spotify,Entertainment
shopping,Shopping
tuition,Education
bus,Transport
wifi,Utilities
domino,Food
pizza,Food
cab fare,Transport
doctor,Healthcare
udemy,Education
internet,Utilities
udemy,Education
online course,Education
books,Education
recharge,Utilities
movie,Entertainment
miscellaneous,Other
coursera,Education
random,Other
books,Education
myntra,Shopping
internet,Utilities
other expense,Other
